case,method,evaluator,netlist,sha256,area,delay_ps,power_W,g0_area,g0_delay_ps,g0_power_W,delta_area_pct,display_delta_area_pct,delta_delay_ps_pct,display_delta_delay_ps_pct,delta_power_W_pct,display_delta_power_W_pct,historical_classification,search_seconds
usb_phy,AreaPMO,GENLIB,results/usb_phy/areapmo/final.v,91fbf0309a9693dd9b7a62df503c43f3e2335c69fde563bac6e7364826f3aa5a,23.69,165.12,,23.97,179.06,,-1.168126825198157,-1.17,-7.785099966491682,-7.79,,,,
usb_phy,AreaPMO,Genus,results/usb_phy/areapmo/final.v,91fbf0309a9693dd9b7a62df503c43f3e2335c69fde563bac6e7364826f3aa5a,23.63418,288.8,7.2234e-05,23.9112,316.5,7.2744e-05,-1.1585365853658547,-1.16,-8.751974723538702,-8.75,-0.7010887495875862,-0.70,,
usb_phy,Iterative-genlib,GENLIB,results/usb_phy/iterative_genlib/final.v,bb20aef8b15aa7c3a8f2f8a34bd4b57c55c5c16363f5c152525a4a60b100e083,21.06,179.06,,23.97,179.06,,-12.140175219023785,-12.14,0.0,0.00,,,EXACT_TRAJECTORY_PASS,1428.480342631985
usb_phy,Iterative-internal_v3,Genus,results/usb_phy/iterative_internal_v3/final.v,bb20aef8b15aa7c3a8f2f8a34bd4b57c55c5c16363f5c152525a4a60b100e083,20.90772,316.5,6.28419e-05,23.9112,316.5,7.2744e-05,-12.560975609756097,-12.56,0.0,0.00,-13.612256680963375,-13.61,FINAL_SHA_PASS,1239.5265463770484
simple_spi,AreaPMO,GENLIB,results/simple_spi/areapmo/final.v,24184977c3e1fe65ffd59a93aaae6470c6db8e1a4ad0301c83aeca7ccd1debbe,41.0,287.0,,41.58,287.0,,-1.3949013949013933,-1.39,0.0,0.00,,,,
simple_spi,AreaPMO,Genus,results/simple_spi/areapmo/final.v,24184977c3e1fe65ffd59a93aaae6470c6db8e1a4ad0301c83aeca7ccd1debbe,40.4595,426.1,0.000109845,41.042699999999996,440.3,0.000110947,-1.4209591474245054,-1.42,-3.2250738133091095,-3.23,-0.9932670554408829,-0.99,,
simple_spi,Iterative-genlib,GENLIB,results/simple_spi/iterative_genlib/final.v,0115bdc27c3a0989a12f656d202b5a3a7914e926738b2057abab79231da84673,37.58,287.0,,41.58,287.0,,-9.620009620009618,-9.62,0.0,0.00,,,EXACT_TRAJECTORY_PASS,4884.488452277961
simple_spi,Iterative-internal_v3,Genus,results/simple_spi/iterative_internal_v3/final.v,8c2061be808dd200d4d20ef58e63dc8faf372cf9687d885b121cd497e1753aab,37.13526,433.3,9.87224e-05,41.042699999999996,440.3,0.000110947,-9.520426287744211,-9.52,-1.5898251192368873,-1.59,-11.01841419777011,-11.02,EXACT_TRAJECTORY_PASS,6018.794666907983
systemcdes,AreaPMO,GENLIB,results/systemcdes/areapmo/final.v,5cc43c85e9f295728b0e7872394ba3bf6ac092320283c9ba9a959d4fd0689bbb,141.01,530.29,,142.22,530.29,,-0.8507945436647457,-0.85,0.0,0.00,,,,
systemcdes,AreaPMO,Genus,results/systemcdes/areapmo/final.v,5cc43c85e9f295728b0e7872394ba3bf6ac092320283c9ba9a959d4fd0689bbb,140.15754,1256.1,0.000312109,140.90112,1327.4,0.000317375,-0.5277317880794552,-0.53,-5.371402742202813,-5.37,-1.6592359196534123,-1.66,,
