series,objective,origin,point_id,anchor,period_ps,sha256,data_path_ps,driver_adjust_ps,boundary_delay_ps,area_um2,power_uw,formal,own_delay_area_pareto,own_delay_power_pareto,combined_delay_area_pareto,combined_delay_power_pareto
Genus G0,,original five,orig_t0,,946.865,8b90bf6dc57389a185d9a671f16abb2d7c5abaebff3faf7edc4711443db02ab2,944.6000,2.0000,946.6000,108.825000,180.375000,PASS,True,True,False,False
Genus G0,,original five,orig_t1,,1010.0,cdd7d34a8a2b9a20f999e6633c8a656a724d51e025e409e2fa37017aa7f7e7fe,1006.2000,3.8000,1010.0000,107.379000,178.299000,PASS,True,True,False,False
Genus G0,,original five,orig_t2,,1046.535,500f08449633b535cbf5b429db199bb03b92cdcb0b08da00a615241b36fa7f3a,1041.7000,3.8000,1045.5000,106.411000,178.391000,PASS,True,False,False,False
Genus G0,,original five,orig_t3,,1096.3700000000001,2b1cb92e4d66fdf16758b6a735e196fa7be928f18a8f72b79aecf21c58abf2ad,1093.8000,2.6000,1096.4000,103.833000,174.690000,PASS,True,True,False,False
Genus G0,,original five,orig_t4,,1146.205,f7a1ae0d962b1152152aadfe8cfb5f7f4b0858a71be927018448778ebdc696e6,1143.0000,3.2000,1146.2000,97.499000,165.057000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s00_p875,,875.0,f010c86c2b6ad7142d73a4112b009b863018d2ef8126faf39145e94fc58ab262,872.4000,2.0000,874.4000,114.272000,188.892000,PASS,True,False,False,False
Genus G0,,additional high-effort sweep,s01_p900,,900.0,5c049145dc3ec179ab9609c743b0963b553b466bbed5c608acbd252014f373f6,895.7000,2.0000,897.7000,114.575000,188.869000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s02_p920,,920.0,f9266d4215974d7d27cb7daba171cc80bd4636d25ab17a139b6f973fd0fcee6d,915.3000,2.0000,917.3000,115.007000,189.154000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s03_p935,,935.0,48747275a947c6c82c704052e13df08e1b327553c8fc73432db668cae477f1a6,930.0000,2.0000,932.0000,112.686000,186.586000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s04_p800,,800.0,6df8e5b22319adcfd5fc03608cffb32d943ee7324e698583de388f201a051945,795.9000,3.2000,799.1000,117.188000,191.903000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s05_p825,,825.0,fdbc6280cfe5e4076d729ac286b914d1a2e0dc8dad171efbfcf41ea4b42f4fa2,822.7000,2.0000,824.7000,116.162000,192.030000,PASS,True,False,False,False
Genus G0,,additional high-effort sweep,s06_p850,,850.0,3eb72c380954fc09ffb320f306d7b04ea10d54d228ff84020f20f4bf6112ca2f,845.9000,3.8000,849.7000,114.377000,187.763000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s07_p860,,860.0,ee5f00808c520d36d2d759b4570157b4fbed6aa89b3266c180b81e9827781931,857.2000,2.0000,859.2000,116.185000,191.744000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s08_p960,,960.0,8f5f816976d755df8a9b5f22c8898af655f7fbb261f9fbba066abee400c97c48,957.3000,2.0000,959.3000,111.741000,184.466000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s09_p985,,985.0,6d1af852fda32739de86459921c1c0eef9025a8e8e9c572c8734b52d12f91e77,979.2000,3.2000,982.4000,109.747000,181.767000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s10_p1025,,1025.0,9e5d0bae971454a0bb2179e25e3dd98b7142fd5bf705de777e5e9fedd84c8a6f,1019.1000,3.2000,1022.3000,107.122000,178.611000,PASS,True,False,False,False
Genus G0,,additional high-effort sweep,s11_p1070,,1070.0,a22613ef28442130a8f47e851cff9a8083d8bfc457b06a861aae52e38f8fdef4,1065.5000,3.2000,1068.7000,105.862000,176.573000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s12_p1120,,1120.0,2dbabfe3bc0feb872bbf0f01ee53569b419ef2de5216b9ee3831cd09ef0f5b2a,1116.5000,3.2000,1119.7000,101.372000,169.691000,PASS,True,True,False,False
Genus G0,,additional high-effort sweep,s13_p1190,,1190.0,fa60e51f4f1b7baa52329fc46f256582b722de63f3502071d5acea8e10dc55d4,1152.7000,2.0000,1154.7000,104.894000,176.210000,PASS,False,False,False,False
Genus G0,,additional high-effort sweep,s14_p1250,,1250.0,7c3b73abd000455ed09508e98b1319d376a9b3ddd58fd2f91a15c4a4d42aff04,1226.9000,2.3000,1229.2000,108.953000,182.644000,PASS,False,False,False,False
Iterative,D×A,single D×A objective candidate archive,archive_000,p0800,,a033549a68f4a2a6fe9e569b2c78e8d8fa79652a3df5a6d5786627a9727db471,662.8000,4.5000,667.3000,118.203000,193.773000,PASS,True,True,True,True
Iterative,D×A,single D×A objective candidate archive,archive_001,p0800,,57ddf69b7f0f6c8fa8fe318f41a4f2078f20fef9848ff5e23b329de95ce80d1c,669.4000,2.0000,671.4000,117.760000,193.053000,PASS,True,True,True,True
Iterative,D×A,single D×A objective candidate archive,archive_002,p0800,,7102fa6f6dde94dda288d3eacf78553f6c6676644c34bca2ef3ff971189797e4,677.8000,2.0000,679.8000,117.725000,193.061000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_003,p0800,,967ffbd0a223c4e77e0d0fa80ac25823f9f86a1d77b047cfc54eda12a8c3740a,678.1000,2.0000,680.1000,117.456000,192.683000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_004,p0800,,595ffa3679aa80233d1e6c19095fac16ce90f8c9fbcbf02875d0092278c9d7ed,678.1000,2.0000,680.1000,117.456000,192.691000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_005,p0800,,a87c4b4d121bb275f5a1787a7ad3b38a9f9f50f0ed19390924373672dec85034,678.1000,2.0000,680.1000,117.456000,192.695000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_006,p0800,,326db8392776758d605a7e8e5f93aba87417873ca793b0cdbced1315a06a562c,678.1000,2.0000,680.1000,117.456000,192.695000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_007,p0800,,e74cb01af7030505a0b5440e94db8452792540f9a05f736e1b3a5ff78dbee145,678.1000,2.0000,680.1000,117.456000,192.691000,PASS,True,False,True,False
Iterative,D×A,single D×A objective candidate archive,archive_008,p0800,,814311b2ea05f39d4e1e564a3b26f332abbc47831e1cdf275ab6ac5a2fef0391,678.1000,2.0000,680.1000,117.456000,192.700000,PASS,True,False,True,False
