benchmark,anchor,selected_flow,g0_d2ap,full_d2ap_over_g0,phase_i_only_d2ap_over_g0,phase_ii_only_d2ap_over_g0,without_drive_d2ap_over_g0,full_over_phase_i_only,full_over_phase_ii_only_exact,full_over_without_drive,figure8_phase_ii_bar_value,figure8_phase_ii_bar_clipped,full_sha256,phase_i_sha256,phase_ii_sha256,without_drive_sha256,without_drive_external_status
epfl_ctrl,t2_1.05x,Conquer,1.4607834035597043,0.59965207012319,0.7960041274619091,0.7999263266256634,0.606819119730013,0.7533278401899806,0.7496341227481633,0.9881891499891898,0.7496341227481633,False,91d41f1ee50a7bad43ed73ab578cc88e8a5c24803e987c83267c5170b4884683,14f5b9399247f328224d64ed2fd79935e45374bf71034a9d9c0c69baa8216049,e5172e2b6abadd051c7bb3bed5c4b46b3c4d58817040c41b5dbe31331aab2b39,a68249fd7432d1a72f76891a8d8db76aec847beb6e442912834afea94d31814b,PASS
epfl_router,t0_0.95x,Conquer,0.4453204767913979,0.9429297920386998,0.9429297920386998,1.040877315006018,0.9429297920386998,1.0,0.9058990703753094,1.0,0.9058990703753094,False,b7c0b507a1beadefdf3d9e70a86d4396dfc7882d0aec1f58ec09f2d46e9d86b4,b7c0b507a1beadefdf3d9e70a86d4396dfc7882d0aec1f58ec09f2d46e9d86b4,aaadb28a66b908044564900e3f6aaa98b34a56997154f0117ccf74321c0b1aa1,b7c0b507a1beadefdf3d9e70a86d4396dfc7882d0aec1f58ec09f2d46e9d86b4,PASS
c432,t4_1.20x,Iterative,14.695711656408,0.8006090581964364,0.8541571469551597,0.8493265310523659,0.8131028780014731,0.9373088559293711,0.9426398786865098,0.9846343923468266,0.9426398786865098,False,bea86d4d4ad5c08e87746a824a2fea129410ec2146d4a9efea0392658ae85918,2cef0bdab055464f88cace1cf949056ff28011d95da6194a4b5e0dc24d55eafb,f6f00e0ebddfa7dfa080211b2e982c67d2f001bf8d999ef94f080831c6841b92,90ab3b3f5dbdee164a30d7db87bd638dd16f81c848459527526661928e5c8ab1,PASS
epfl_int2float,t4_1.20x,Conquer,3.7066632394734,0.6853979808602992,1.0001511944360446,0.7273755558733164,0.6853979808602992,0.6852943681647801,0.9422889940773207,1.0,0.9422889940773207,False,c908df57c1e063e6196da6527dadc5e234e78dc54907847b2da927b4ddcd34b3,dcdf3b99d85833c9c7bb8aa224fb6a0b5e6f7e5c7332dfadcc0d5e0c1c27cf43,8e43c24c410ee53101e529730fd942adce99b63cae601856c99b0f7274babfc3,c908df57c1e063e6196da6527dadc5e234e78dc54907847b2da927b4ddcd34b3,PASS
c880,t1_1.00x,Conquer,22.1088520288746,0.9497097980504029,0.9797720389004592,0.9660502933264824,0.9497097980504029,0.9693171067794573,0.9830852540608286,1.0,0.9830852540608286,False,64572874858a0591af180cb9e8270a95b9ad94de81f668107e9a9c080f790e26,2fcbc4465c0a6bc539909504e9686b849e1d8f4b367da4cc3b8b619c2b5add83,e56cd59d7887527260532d445c5f247415a2940c1bb1bb9112c6c3a3589ac1e7,64572874858a0591af180cb9e8270a95b9ad94de81f668107e9a9c080f790e26,PASS
c1908,t0_0.95x,Conquer,62.43831022884,0.9850088981408405,0.9850088981408405,1.0194622433614284,0.9850088981408405,1.0,0.966204393105343,1.0,0.966204393105343,False,47e66e7825ee35d6cde0014ed362be588a81e8cc2031ec819865446c64a73d07,47e66e7825ee35d6cde0014ed362be588a81e8cc2031ec819865446c64a73d07,7ff3c19d81858402bdb8920e7c3cec1904beb6c1251c0d170a63f659010140d0,47e66e7825ee35d6cde0014ed362be588a81e8cc2031ec819865446c64a73d07,PASS
c2670,t3_1.10x,Conquer,136.4146273224101,0.543712349349067,0.764167074285788,0.6320010594379548,0.5439078862673651,0.7115097831939904,0.8603029080878378,0.9996404962618947,0.8603029080878378,False,444225b0911aeb7a95ee5b1414f1dabfba5ad13808e5d1edb4f031d82b60e3c7,67672671c7c3c5c4492775399fd1d71f793d218dce21c322c1572338b04a5ae6,0bba2cfb1bf92bd8fe1d42dae27916c223f7ee5b8ee3b88ea91b1ee4c582215b,c342353be46686e2cbdde250005b332d748cb40a0d5974ae3d6f89a85ed756e4,PASS
c499,t0_0.95x,Conquer,27.306420187119837,0.9929915651940755,0.9929915651940755,1.0487705299680112,0.9904685508243083,1.0,0.9468149007050789,1.00254729377088,0.9468149007050789,False,,,7967cdd8ed04f8a122c7090bc098ed06d5b44d2979f3e6242c6ec23f79b2bf24,0b47dbdb74520c0f35254b8ac2faf4c4a25d91fbb07d33c001c971846f430fe4,PASS
epfl_dec,t3_1.10x,Iterative,58.440338926307,0.602993442667441,0.9619069273688813,0.6660984115464557,0.5851222196184027,0.6268729598577881,0.905261793475072,1.0305427181703908,0.905261793475072,False,d8ee41a7b6f60fe7f586f7230042735189ead5336827016e7cea61bb513cb854,849d12154ce1d8a2a7c4c3250e34847c3b1016d57ea1334579d08c3bb97c70a3,2423a491dca31c753c45b26f7d7bfcdc0dd977c1b6eefe52bb9c07bca1df11f6,7504a9431164d4763d0c90a89f63dc96bdac8a23bb7c2c723d3253717fd42e6e,PASS
epfl_priority,t0_0.95x,Iterative,24.88943376264433,0.828698464079501,0.9579953567931849,0.9067705885811682,0.8492570247251954,0.8650339046041985,0.913900907809739,0.9757922983888808,0.913900907809739,False,4cee3686bdb1919b4e26c80150e7be76ef15dbe41277eb80f72eefc9d116759f,84fd321ecb2e1a6e6c704bb9c1e871e5020ddffaf50708422edc66eff43d7b56,4686006a940a2fd33190406967692c5aa13174ab0d2fd10bfb0e0021fd9a5a7a,be9fec92eca6a33f01400aafc5818d9a09dbd5d2c2fddb674540388275ef0c93,PASS
