benchmark,anchor,selected_flow,selected_candidate,g0_gates,optimized_gates,g0_delay_ps,optimized_delay_ps,g0_area_um2,optimized_area_um2,g0_power_uw,optimized_power_uw,d2ap_over_g0,g0_sha256,optimized_sha256,genus_mapping_wall_sec,escope_search_wall_sec,formal_status
epfl_ctrl,t2_1.05x,Conquer,NORMAL_POST,65,66,183.4,135.2,3.569,3.791,12.1686,12.6409,0.59965207012319,3801f12c7c94b1f51290b9a04c7e8bf5fea1fd41f81454835c066470854fd22a,91d41f1ee50a7bad43ed73ab578cc88e8a5c24803e987c83267c5170b4884683,20.4,12.2,historical canonical result; receipt not copied in compact layer
epfl_router,t0_0.95x,Conquer,RECALL_CLOSE_011,89,84,106.3,105.3,5.051,4.911,7.802410000000001,7.711260000000001,0.9429297920386998,806558ccc843489d48819565802dd0cd778baef933521a91411ddf2af6f52d9e,b7c0b507a1beadefdf3d9e70a86d4396dfc7882d0aec1f58ec09f2d46e9d86b4,25.0,27.4,historical canonical result; receipt not copied in compact layer
c432,t4_1.20x,Iterative,R5,108,107,505.0,458.0,5.832,5.82,9.880759999999999,9.63734,0.8006090581964364,f947b2906345b8107bde27cb26aff15d0b45bb07225f3a6dd5da7be5e16e6130,bea86d4d4ad5c08e87746a824a2fea129410ec2146d4a9efea0392658ae85918,21.0,39.9,historical canonical result; receipt not copied in compact layer
epfl_int2float,t4_1.20x,Conquer,NORMAL_POST,124,124,208.5,166.9,7.162,7.407,11.9052,12.3132,0.6853979808602992,970244c0b96865bc661d9e0fa3c214a4179c8477196e11810468737d779a0693,c908df57c1e063e6196da6527dadc5e234e78dc54907847b2da927b4ddcd34b3,22.0,17.1,historical canonical result; receipt not copied in compact layer
c880,t1_1.00x,Conquer,NORMAL_POST,185,186,291.5,286.7,11.372,11.361,22.879800000000003,22.4846,0.9497097980504029,177c381b45d9d1a1b502663fa10f84928f0e1fc15032cfd0b0f2f917afa284ae,64572874858a0591af180cb9e8270a95b9ad94de81f668107e9a9c080f790e26,23.0,21.1,historical canonical result; receipt not copied in compact layer
c1908,t0_0.95x,Conquer,PI_IDENTITY_BYPASS_P246,233,232,396.2,394.3,15.0,14.953,26.5174,26.4551,0.9850088981408405,309caf69a8cd5a608d133e2008a6c8bc2b5a041ed05b8abc46853ef8e5f25a9f,47e66e7825ee35d6cde0014ed362be588a81e8cc2031ec819865446c64a73d07,22.0,30.4,historical canonical result; receipt not copied in compact layer
c2670,t3_1.10x,Conquer,NORMAL_POST,253,255,441.7,316.6,17.449,18.103,40.0715,40.875,0.543712349349067,df835b1ae22fe4fcdd0a90a6c42d247954b62c89fcd7b3eb9b114de278f2a991,444225b0911aeb7a95ee5b1414f1dabfba5ad13808e5d1edb4f031d82b60e3c7,23.0,30.9,historical canonical result; receipt not copied in compact layer
c499,t0_0.95x,Conquer,RECALL_CLOSE_004,273,267,202.8,204.4,19.631,19.374,33.821,33.498799999999996,0.9929915651940755,6853e5d9812cf00fed444cb0ab82e4f1b8d4c8c888d850ffb5adced2356871b3,59ef9fa653eb1b2cc7071538334ac5cc21fedd6de4b40dac99287c6b282763cc,25.0,38.2,historical canonical result; receipt not copied in compact layer
epfl_dec,t3_1.10x,Iterative,R3,331,333,158.5,119.2,21.124,22.278,110.123,111.326,0.602993442667441,526335cc4f98590bbcc80667a1c8798171a7a2417b54516ab9cd1293490653f9,d8ee41a7b6f60fe7f586f7230042735189ead5336827016e7cea61bb513cb854,22.0,88.2,historical canonical result; receipt not copied in compact layer
epfl_priority,t0_0.95x,Iterative,R5,341,342,225.9,206.1,18.394,18.616,26.515900000000006,26.0837,0.828698464079501,5417b606d384b8a8b7721b85ae25617937426bbb953012e125ab1a5646e2a043,4cee3686bdb1919b4e26c80150e7be76ef15dbe41277eb80f72eefc9d116759f,28.0,90.9,historical canonical result; receipt not copied in compact layer
epfl_cavlc,t4_1.20x,Conquer,NORMAL_POST,372,372,325.3,280.1,22.313,22.756,34.297,34.7744,0.7666542766967352,685e33fe0e1a89d4d5381d47d3c56aee534b1d19bd22c0eca3011f5218e4d147,d11c9452de2daf8da71a8fdf37967f5a5328c61a1730b27a3adabd47ecf80e01,24.0,81.2,historical canonical result; receipt not copied in compact layer
c3540,t1_1.00x,Conquer,NORMAL_POST,449,450,572.1,536.2,29.113,29.568,46.8039,46.416199999999996,0.884773798235648,4a647d975b8bdcb9fada7ef0918709c60acae8e2a3b492737802add86e509874,e6c4c3443b8243cb22cc7229a89ef4985e80a13facefbfbefc544c7a1f892a2b,26.0,62.6,historical canonical result; receipt not copied in compact layer
epfl_i2c,t4_1.20x,Conquer,NORMAL_POST,490,490,309.1,247.3,29.265,29.568,78.43440000000001,77.5657,0.6395680809501127,fc7b911275fe2c1269d970484b90c1b94bf4e45b5942528cafc16fab99873e64,b9fc70b5ab0954d9acd8140661e1c78fb90dff55fddbe5e7809b4edb7c8aa4ef,26.0,66.0,historical canonical result; receipt not copied in compact layer
c5315,t4_1.20x,Conquer,NORMAL_POST,600,600,562.2,462.6,40.801,41.57,91.3859,89.64760000000001,0.6767032549760348,4581dddb5dd148422db14f46d4296fb39577f21a1595eb3f822b7265d6a1ccd2,87a401a8f866a453fa11bb622634585854fb68e3d4a030e3846fb585a9454c92,27.0,80.7,historical canonical result; receipt not copied in compact layer
epfl_bar,t4_1.20x,Conquer,NORMAL_POST,912,913,335.2,279.0,67.826,68.526,164.358,158.783,0.67619618815287,d5c0b76c8387b935a8e0a3d96490af206dcfbe3a8f9f915fcc7144e64f25b474,944a1d250d81b50f52bed008860368014aa07e4294c67cd1534f8eef435061d8,30.0,323.0,historical canonical result; receipt not copied in compact layer
c6288,t4_1.20x,Iterative,R3,1342,1341,1169.4,1135.2,78.954,79.257,114.394,114.215,0.9445000301063621,a48e5edea555492b4b1b36e3e8fe77b58b53ce8efe77eccb85bf30cbbbe614d7,8dfaef91b9876afde4fd5ff3e4642111ef2d7e4a1a618c4e9a8576914ad437a3,19.8,61.9,historical canonical result; receipt not copied in compact layer
epfl_max,t2_1.05x,Iterative,R5,1557,1560,896.7,814.9,95.248,96.321,175.909,177.306,0.8418113678474972,8e3ac4f55647623b970122786f8bb1d51a9117607f3166cfb9fec4a0d2f7d0ca,f62d23ca19bfe42693f63e182f4be7364b3f28be75e2233c6aceba2762409138,198.0,230.7,historical canonical result; receipt not copied in compact layer
epfl_adder,p0800,Iterative D×A objective,archive_000,1942,1940,795.9000,662.8000,117.188000,118.203000,191.903000,193.773000,0.7063254353228418,6df8e5b22319adcfd5fc03608cffb32d943ee7324e698583de388f201a051945,a033549a68f4a2a6fe9e569b2c78e8d8fa79652a3df5a6d5786627a9727db471,301.06,303.351,PASS
epfl_arbiter,t2_1.05x,Iterative,R5,2885,2885,347.7,326.4,155.155,156.123,252.94899999999996,254.44699999999997,0.8919826337029944,5ce591a6b032703c2640a1c18dac752cf9b1ec1ff57ddd790262dea9a5ab551e,3634a33b72683a40b76e6540d3b7db027e945baf8f885c658af22e0012d5ef73,73.0,274.3,historical canonical result; receipt not copied in compact layer
epfl_sin,t4_1.20x,Conquer,RECALL_RECOURSE_001,3526,3520,1621.6,1622.4,220.741,220.485,310.087,309.582,0.9981977565473628,45418c3744331ef1c885394b94d15cd76dd298fc81b230898562abcfeef561cf,d408c5b51ea69f4b5cfa11448bcc4303bbe7ada23cb9fcfb66516c91779f5b11,291.1,148.8,historical canonical result; receipt not copied in compact layer
epfl_voter,t4_1.20x,Iterative,R3,5377,5377,765.8,751.2,332.354,332.576,459.30300000000005,459.52500000000003,0.9633415486965752,3829b2c5e391b454f55163d9d074c1331b69b893055d7625d7f01d0ac0d1c0a3,73ddf78b47ad98ccb951f0202a9f206b3130e256059053a1c42907c13794177c,192.0,351.6,historical canonical result; receipt not copied in compact layer
